ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Locality,Comment,Number,Region,FullName,Collector,SubFamily,Group,SubGroup
burmbar,Burmbar,burm1263,Burmbar,vrt,Papunesia,-16.3844652035323,167.780501043035,Austronesian,Malekula,,82,,Burmbar,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
lepaxsivir,Lepaxsivir,burm1263,Burmbar,vrt,Papunesia,-16.41653,167.73124,Austronesian,Malekula,,83,,Lepaxsivir,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
vartavo,Vartavo,burm1263,Burmbar,vrt,Papunesia,-16.41653,167.73124,Austronesian,Malekula,,84,,Vartavo,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
aulua,Aulua,aulu1238,Aulua,aul,Papunesia,-16.311491400016,167.691051344588,Austronesian,Malekula,,85,,Aulua,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
repanbitip,Repanbitip,repa1237,Repanbitip,rpn,Papunesia,-16.3265,167.619,Austronesian,Malekula,,86,,Repanbitip,D.T.Tryon,New Hebrides,Malekula Interior,Small Nambas
rerep,Rerep,rere1240,Rerep,pgk,Papunesia,-16.2691483066458,167.678237310535,Austronesian,Malekula,,87,,Rerep,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
unua,Unua,unua1237,Unua,onu,Papunesia,-16.2314138805245,167.603322947486,Austronesian,Malekula,,88,,Unua,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
timbembe,Timbembe,katb1237,Avava,tmb,Papunesia,-16.1797827994182,167.531974929801,Austronesian,Malekula,,89,,Timbembe,D.T.Tryon,New Hebrides,Malekula Interior,Malekula Central
lingarak,Lingarak,ling1265,Neverver,lgk,Papunesia,-16.1986,167.499,Austronesian,Malekula,,90,,Lingarak,D.T.Tryon,New Hebrides,Malekula Interior,Malekula Central
katbol,Katbol,katb1237,Avava,tmb,Papunesia,-16.1576907665386,167.425499272372,Austronesian,Malekula,,91,,Katbol,D.T.Tryon,New Hebrides,Malekula Interior,Malekula Central
litzlitz,Litzlitz,litz1237,Naman,lzl,Papunesia,-16.1160323466577,167.449033893529,Austronesian,Malekula,,92,,Litzlitz,D.T.Tryon,New Hebrides,Malekula Interior,Malekula Central
uri,Uri,urip1239,Uripiv-Wala-Rano-Atchin,upv,Papunesia,-16.0936259350607,167.45848101589,Austronesian,Malekula,,93,,Uri,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
uripiv,Uripiv,urip1239,Uripiv-Wala-Rano-Atchin,upv,Papunesia,-16.0704696073022,167.448405123831,Austronesian,Malekula,,94,,Uripiv,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
tautu,Tautu,urip1239,Uripiv-Wala-Rano-Atchin,upv,Papunesia,-16.0703218873372,167.409694516657,Austronesian,Malekula,,95,,Tautu,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
maragus,Maragus,mara1399,Maragus,mrs,Papunesia,-16.0770022051878,167.36954607934,Austronesian,Malekula,,96,,Maragus,D.T.Tryon,New Hebrides,Malekula Interior,Malekula Central
pinalum,Pinalum,urip1239,Uripiv-Wala-Rano-Atchin,upv,Papunesia,-16.0124870035975,167.405941014166,Austronesian,Malekula,,97,,Pinalum,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
wala,Wala,urip1239,Uripiv-Wala-Rano-Atchin,upv,Papunesia,-15.9716293874471,167.378830275793,Austronesian,Malekula,,98,,Wala,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
rano,Rano,urip1239,Uripiv-Wala-Rano-Atchin,upv,Papunesia,-15.9889182585707,167.394538699071,Austronesian,Malekula,,99,,Rano,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
orap,Orap,maee1241,Tirax,mme,Papunesia,-15.9898473343149,167.356646522382,Austronesian,Malekula,,100,,Orap,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
atchin,Atchin,urip1239,Uripiv-Wala-Rano-Atchin,upv,Papunesia,-15.9432625268067,167.341440093465,Austronesian,Malekula,,101,,Atchin,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
vao,Vao,vaoo1237,Vao-Vovo,vao,Papunesia,-15.898299,167.309973,Austronesian,Malekula,,102,,Vao,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
mpotovoro,Mpotovoro,mpot1241,Mpotovoro,mvt,Papunesia,-15.8988,167.232,Austronesian,Malekula,,103,,Mpotovoro,G.Fox,New Hebrides,North & Central New Hebrides,Malekula Coastal
mae,Mae,maee1241,Tirax,mme,Papunesia,-16.0097898473407,167.375109407566,Austronesian,Malekula,,104,,Mae,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
vovo,Vovo,vaoo1237,Vao-Vovo,vao,Papunesia,-15.9092362724105,167.180516531919,Austronesian,Malekula/Epi,,105,,Vovo,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
petarmur,Petarmur,malu1245,Malua-Tepërav,mll,Papunesia,-15.9335586872791,167.180060343491,Austronesian,Malekula,,106,,Petarmur,G.Fox,New Hebrides,North & Central New Hebrides,Malekula Coastal
maluabay,Malua Bay,malu1245,Malua-Tepërav,mll,Papunesia,-15.9813,167.208,Austronesian,Malekula,,107,,Malua Bay,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
leviamp,Leviamp,bign1238,Big Nambas,nmb,Papunesia,-16.1518563576426,167.234159459792,Austronesian,Malekula,,108,,Leviamp,D.T.Tryon,New Hebrides,Malekula Interior,Malekula Central
unmet,Unmet,bign1238,Big Nambas,nmb,Papunesia,-16.1076827697848,167.315108290264,Austronesian,Malekula,,109,,Unmet,D.T.Tryon,New Hebrides,Malekula Interior,Malekula Central
larevat,Larevat,lare1249,Larevat,lrv,Papunesia,-16.1971,167.387,Austronesian,Malekula,,110,,Larevat,D.T.Tryon,New Hebrides,Malekula Interior,Malekula Central
vinmavis,Vinmavis,vinm1237,Neve'ei,vnm,Papunesia,-16.2253,167.427,Austronesian,Malekula,,111,,Vinmavis,D.T.Tryon,New Hebrides,Malekula Interior,Malekula Central
dixonreefi,Dixon Reef I,dixo1238,Dixon Reef,dix,Papunesia,-16.3439306298826,167.395564189333,Austronesian,Malekula,,112,,Dixon Reef I,G.Fox,New Hebrides,Malekula Interior,Small Nambas
dixonreefii,Dixon Reef II,dixo1238,Dixon Reef,dix,Papunesia,-16.3439306298826,167.395564189333,Austronesian,Malekula,probably what Tryon calls Nasarian in the overview,113,Ma,Dixon Reef II,J.M.Charpentier,New Hebrides,Malekula Interior,Small Nambas
lembinwen,Lembinwen,sout2857,Nahavaq,sns,Papunesia,-16.5152155076037,167.420260488263,Austronesian,Malekula,,114,Ma,Lembinwen,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
benour,Benour,sout2857,Nahavaq,sns,Papunesia,-16.4941120682098,167.420775467068,Austronesian,Malekula,,115,Ma,Benour,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
labo,Labo,labo1244,Ninde,mwi,Papunesia,-16.4291,167.442,Austronesian,Malekula,,116,Ma,Labo,D.T.Tryon,New Hebrides,Malekula Interior,Labo
windua,Windua,labo1244,Ninde,mwi,Papunesia,-16.4767141911666,167.445620875249,Austronesian,Malekula,,117,Ma,Windua,D.T.Tryon,New Hebrides,Malekula Interior,Labo
malfaxal,Malfaxal,malf1237,Na'ahai,mlx,Papunesia,-16.5499,167.509,Austronesian,Malekula,,118,Ma,Malfaxal,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
ranon,Ranon,nort2839,North Ambrym,mmg,Papunesia,-16.1741,168.14,Austronesian,Ambrym,,119,Am,Ranon,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
fonah,Fonah,nort2839,North Ambrym,mmg,Papunesia,-16.1048495440112,168.172197224407,Austronesian,Ambrym,,120,Am,Fonah,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
fali,Fali,lonw1238,Lonwolwol,crc,Papunesia,-16.2286,168.016,Austronesian,Ambrym,,121,Am,Fali,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
baiap,Baiap,daka1243,Dakaka,bpa,Papunesia,-16.266141479219,167.945266148187,Austronesian,Ambrym,,122,Am,Baiap,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
sesivi,Sesivi,sesi1237,Sesivi,,Papunesia,-16.30603,167.98469,Austronesian,Ambrym,,123,Am,Sesivi,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
portvato,Port Vato,port1286,Daakie,ptv,Papunesia,-16.3083,168.046,Austronesian,Ambrym,,124,Am,Port Vato,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
toak,Toak,toak1237,Toak,,Papunesia,-16.33785,168.29499,Austronesian,Ambrym,,125,Am,Toak,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
maat,Maat,sout2859,Southeast Ambrym,tvk,Papunesia,-16.2975,168.211,Austronesian,Ambrym,,126,Am,Maat,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
lironesa,Lironesa,paam1238,Paama,pma,Papunesia,-16.47548,168.23693,Austronesian,Paama,,127,Pa,Lironesa,D.T.Tryon,New Hebrides,North & Central New Hebrides,East New Hebrides
